task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f7/83fc65	52662	APHL_GAS:GAS:FASTP (SRR5858397)	CACHED	0	2026-04-30 04:25:47.782	22.5s	20.2s	215.0%	1.3 GB	1.8 GB	190.9 MB	124.6 MB
2	d8/7a3b22	51018	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR5858397)	CACHED	0	2026-04-30 04:21:38.803	4m 9s	4m 8s	167.4%	2.5 GB	15.7 GB	2.1 GB	1.5 GB
4	cc/f0a29b	57374	APHL_GAS:GAS:EMM_MLST:QUAST (SRR5858397)	CACHED	0	2026-04-30 04:36:52.351	3.4s	2.7s	149.0%	81.3 MB	378.7 MB	194.2 MB	6.1 MB
3	01/9599df	57548	APHL_GAS:GAS:EMM_MLST:MLST (SRR5858397)	CACHED	0	2026-04-30 04:36:58.665	2.5s	2s	63.5%	143.5 MB	209.9 MB	6.2 MB	2.6 MB
5	d9/1987ac	57452	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR5858397)	CACHED	0	2026-04-30 04:36:55.802	2.9s	2.1s	75.3%	58.7 MB	565.3 MB	19.6 MB	14.8 KB
7	da/ed23f3	52942	APHL_GAS:GAS:FASTP (SRR5858294)	CACHED	0	2026-04-30 04:26:10.342	30.2s	27s	299.0%	1.3 GB	1.9 GB	353.4 MB	283.9 MB
6	b4/f7516e	53231	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR5858294)	CACHED	0	2026-04-30 04:26:40.522	7m 3s	6m 59s	163.3%	3.9 GB	15.7 GB	4.4 GB	3.3 GB
8	fd/5708e2	57688	APHL_GAS:GAS:EMM_MLST:QUAST (SRR5858294)	CACHED	0	2026-04-30 04:37:02.677	2.2s	1.8s	228.7%	77.2 MB	374.5 MB	193 MB	6.1 MB
9	83/bc360b	57757	APHL_GAS:GAS:EMM_MLST:MLST (SRR5858294)	CACHED	0	2026-04-30 04:37:04.900	2s	1.7s	75.3%	154.3 MB	218.6 MB	6.3 MB	2.6 MB
10	5b/1e50f6	57607	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR5858294)	CACHED	0	2026-04-30 04:37:01.220	1.4s	974ms	149.0%	14.9 MB	24.4 MB	19.6 MB	15.5 KB
11	89/9017ff	57042	APHL_GAS:GAS:FASTP (SRR5858317)	CACHED	0	2026-04-30 04:36:31.099	19.7s	16.2s	173.8%	1.3 GB	1.8 GB	128.2 MB	61.4 MB
