	SRR5858397.contigs.fa.ref	SRR5858397.contigs.fa	SRR5858294.contigs.fa	SRR5858317.contigs.fa	SRR5853462.contigs.fa
SRR5858397.contigs.fa.ref	0	0	14781	66	15460
SRR5858397.contigs.fa	0	0	14781	66	15460
SRR5858294.contigs.fa	14781	14781	0	14779	13948
SRR5858317.contigs.fa	66	66	14779	0	15462
SRR5853462.contigs.fa	15460	15460	13948	15462	0
