Sample,Planet,Region,emm_Type,ST,gki,gtr,murI,mutS,recP,xpt,yqiL,T_Type,Group_A,EMM_Family,Other_Surface_Proteins,Capsule,SDA1,SLAA,SIC,ROCA,PNGA3,NADase_D330G,Exotoxins,PBP_ID,WGS_ZOX_SIGN,WGS_ZOX,WGS_ZOX_SIR,WGS_FOX_SIGN,WGS_FOX,WGS_FOX_SIR,WGS_TAX_SIGN,WGS_TAX,WGS_TAX_SIR,WGS_CFT_SIGN,WGS_CFT,WGS_CFT_SIR,WGS_CPT_SIGN,WGS_CPT,WGS_CPT_SIR,WGS_CZL_SIGN,WGS_CZL,WGS_CZL_SIR,WGS_AMP_SIGN,WGS_AMP,WGS_AMP_SIR,WGS_PEN_SIGN,WGS_PEN,WGS_PEN_SIR,WGS_MER_SIGN,WGS_MER,WGS_MER_SIR,ER_CL,WGS_ERY_SIGN,WGS_ERY,WGS_ERY_SIR,WGS_CLI_SIGN,WGS_CLI,WGS_CLI_SIR,WGS_LZO_SIGN,WGS_LZO,WGS_LZO_SIR,WGS_SYN_SIGN,WGS_SYN,WGS_SYN_SIR,WGS_ERY/CLI,TET,WGS_TET_SIGN,WGS_TET,WGS_TET_SIR,GYRA_PARC,WGS_CIP_SIGN,WGS_CIP,WGS_CIP_SIR,WGS_LFX_SIGN,WGS_LFX,WGS_LFX_SIR,OTHER,WGS_DAP_SIGN,WGS_DAP,WGS_DAP_SIR,WGS_VAN_SIGN,WGS_VAN,WGS_VAN_SIR,WGS_RIF_SIGN,WGS_RIF,WGS_RIF_SIR,WGS_CHL_SIGN,WGS_CHL,WGS_CHL_SIR,WGS_SXT_SIGN,WGS_SXT,WGS_SXT_SIR,Contig_Num,N50,Longest_Contig,Total_Bases,ReadPair_1,Contig_Path
SRR5853462,,,11.0,403,3,4,6,5,1,5,0,,,E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,243377,284315,1776527,2026-04-29/fastp/fastp/SRR5853462_fastp.html,
SRR5858294,,,1.49,28,4,3,4,4,4,2,4,,,A-C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,221337,478130,1795667,2026-04-29/fastp/fastp/SRR5858294_fastp.html,
SRR5858317,,,12.0,36,5,2,2,6,6,2,2,,,A-C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,181489,229165,1792476,2026-04-29/fastp/fastp/SRR5858317_fastp.html,
SRR5858397,,,12.0,36,5,2,2,6,6,2,2,,,A-C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,148028,229347,1791592,2026-04-29/fastp/fastp/SRR5858397_fastp.html,
