Assembly	SRR5858397.contigs
# contigs (>= 0 bp)	30
# contigs (>= 1000 bp)	27
# contigs (>= 5000 bp)	21
# contigs (>= 10000 bp)	20
# contigs (>= 25000 bp)	17
# contigs (>= 50000 bp)	14
Total length (>= 0 bp)	1791592
Total length (>= 1000 bp)	1789413
Total length (>= 5000 bp)	1775770
Total length (>= 10000 bp)	1767099
Total length (>= 25000 bp)	1711125
Total length (>= 50000 bp)	1616125
# contigs	30
Largest contig	229347
Total length	1791592
GC (%)	38.36
N50	148028
N90	50458
auN	137227.1
L50	5
L90	14
# N's per 100 kbp	0.00
