Sample	Sequence	Sequence Length (bps)	Cluster Coverage (%)	Cluster Coverage (bps)	Total Coverage (%)
SRR5858397.contigs	Sequence 2	1791592	88.7	1589142	88.8
SRR5858294.contigs	Sequence 3	1795667	88.5	1589165	88.8
SRR5858317.contigs	Sequence 4	1792476	88.7	1589926	88.8
SRR5853462.contigs	Sequence 5	1776527	89.5	1589992	88.8
